type_label,type_start,type_end,subtype,title_de,description_de,title_en,part,division,subsection,group_label,group_title,grundtvig_no,grimm_no,page
301 B,301,301,B,,"Dasselbe, vorher als Einleitung: Der starke Junge und seine starken Gefährten (Tannendreher, Felsenklipperer) (Der starke Junge, siehe No. 650) (Grimm No. 166, Gg No. 5 B).",,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegner (vgl. auch „die Märchen vom dummen Teufel“ II D),300–359,"Der Unhold (Riese, Drache, Teufel, Kobold etc.) wird überwunden",5 B,"166, Gg No",12
302,302,302,,Das Herz des Teufels (Riesen) im Ei,"der Jüngling kann sich in einen Löwen, Ameise etc. verwandeln (bisweilen Herz des Teufels im Ei für sich allein) (vgl. No. 665–667) (Grimm No. 197, Gg No. 17).",The heart of the devil (giant) in the egg,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegner (vgl. auch „die Märchen vom dummen Teufel“ II D),300–359,"Der Unhold (Riese, Drache, Teufel, Kobold etc.) wird überwunden",17,"197, Gg No",12
303,303,303,,Die Zwillings- oder Blutsbrüder,"zwei Knaben, Pferde und Hunde (in Folge des Genusses von Fisch oder auf andere übernatürliche Weise geboren, vgl. No. 705); der eine befreit Prinzessinnen vom Drachen (vgl. No. 300); eine Hexe verwandelt ihn in einen Stein: der zweite Bruder schläft neben der Frau seines Bruders und rettet diesen aus der Verzauberung (Grimm No. 60, 85, Gg No. 25).",The twins or blood-brothers,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegner (vgl. auch „die Märchen vom dummen Teufel“ II D),300–359,"Der Unhold (Riese, Drache, Teufel, Kobold etc.) wird überwunden",25,"60, 85, Gg No",12
304,304,304,,Der Jäger,"ein Mann hat eine Zauberbüchse, mit der er die Riesen zu töten vermag, welche die Prinzessin rauben wollen; er entnimmt aus dem Schlosse, wo alles schläft, mehrere Gegenstände, mit denen als Wahrzeichen er der in eine Hütte verbannten Prinzessin beweist, dass er ihr Retter war; der Hauptmann (Ritter, Hofmann), der sich fälschlich für den Töter der Riesen ausgegeben hatte, wird bestraft (Grimm No. 111, Gg No. 24).",The hunter,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegner (vgl. auch „die Märchen vom dummen Teufel“ II D),300–359,"Der Unhold (Riese, Drache, Teufel, Kobold etc.) wird überwunden",24,"111, Gg No",12
305,305,305,,Das Herzblut des Drachen als Heilmittel für den König,der Jüngling tötet den Drachen und bringt das Herz; ein hoher Herr bemächtigt sich desselben und erhält die Prinzessin; schliesslich kommt die Wahrheit an den Tag (Gg No. 14).,The dragon's heart-blood as medicine for the king,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegner (vgl. auch „die Märchen vom dummen Teufel“ II D),300–359,"Der Unhold (Riese, Drache, Teufel, Kobold etc.) wird überwunden",14,,12
306,306,306,,Die zertanzten Schuhe,"eine Königstochter begibt sich jede Nacht heimlich zu einem Unhold und tanzt mit ihm; ein Jüngling, der sich unsichtbar machen kann, folgt ihr und gewinnt ihre Hand (vgl. No. 507) (Grimm No. 133, Gg No. 23 A).",The danced-out shoes,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegner (vgl. auch „die Märchen vom dummen Teufel“ II D),300–359,"Der Unhold (Riese, Drache, Teufel, Kobold etc.) wird überwunden",23 A,"133, Gg No",12
307,307,307,,Die Prinzessin im Sarge,jeden Morgen wird der Wächter tot aufgefunden; ein Jüngling übernimmt die Leichenwache; die Tote steigt aus dem Sarge; er gewinnt ihre Hand (nicht immer eine Prinzessin) (Gg No. 23 B).,The princess in the coffin,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegner (vgl. auch „die Märchen vom dummen Teufel“ II D),300–359,"Der Unhold (Riese, Drache, Teufel, Kobold etc.) wird überwunden",23 B,,12
310,310,310,,Die in den Turm gesperrte Jungfrau,"sie lässt ihre Hare herab, an denen die Hexe, der das Mädchen gelobt worden ist, emporklettert; ebenso tut der Königssohn; die Hexe führt das Mädchen in die Wüste, wo der Prinz (als Blinder) sie schliesslich findet (Grimm No. 12).",The maiden shut in the tower,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegner (vgl. auch „die Märchen vom dummen Teufel“ II D),300–359,"Der Unhold (Riese, Drache, Teufel, Kobold etc.) wird überwunden",,12,13
311,311,311,,,"Von der Schwester gerettet, die den Unhold dazu bringt, die Mädchen im Sack (Kiste) in ihr eigenes Heim zurückzutragen (Grimm No. 46, 66?, Gg No. 49 A).",,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegner (vgl. auch „die Märchen vom dummen Teufel“ II D),"311, 312",Drei Schwestern aus dem Berge werden aus der Gewalt des Unholdes gerettet,49 A,"46, 66?, Gg No",13
312,312,312,,Unholdstöter und sein Hund,der Bruder rettet die Schwester (Gg No. 49 B).,The ogre-slayer and his dog,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegner (vgl. auch „die Märchen vom dummen Teufel“ II D),"311, 312",Drei Schwestern aus dem Berge werden aus der Gewalt des Unholdes gerettet,49 B,,13
313 A,313,313,A,,"Das Mädchen als Helferin des Jünglings auf der Flucht; der Jüngling ist dem Teufel versprochen worden (Grimm No. 51, 79?, Gg No. 28).",,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegner (vgl. auch „die Märchen vom dummen Teufel“ II D),"313, 314","Die magische Flucht (aus dem Hause des Unholdes (Teufels): die Fliehenden werfen Zaubergegenstände hinter sich, aus denen Berg, Wald und See entstehen, oder sie verwandeln sich in verschiedene Tiere und Gegenstände",28,"51, 79?, Gg No",13
313 B,313,313,B,,"Dasselbe, vorher als Einleitung: der verbotene Schrein, in dem ein Zauberschloss zu sehen ist.",,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegner (vgl. auch „die Märchen vom dummen Teufel“ II D),"313, 314","Die magische Flucht (aus dem Hause des Unholdes (Teufels): die Fliehenden werfen Zaubergegenstände hinter sich, aus denen Berg, Wald und See entstehen, oder sie verwandeln sich in verschiedene Tiere und Gegenstände",,,13
313 C,313,313,C,,"Dasselbe sowie die Episode von der vergessenen Braut die zuletzt mit dem Jüngling wiedervereinigt wird (Grimm No. 56, 113, 186, 193, Gg No. 27).",,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegner (vgl. auch „die Märchen vom dummen Teufel“ II D),"313, 314","Die magische Flucht (aus dem Hause des Unholdes (Teufels): die Fliehenden werfen Zaubergegenstände hinter sich, aus denen Berg, Wald und See entstehen, oder sie verwandeln sich in verschiedene Tiere und Gegenstände",27,"56, 113, 186, 193, Gg No",13
314,314,314,,Der in ein Pferd verwandelte Jüngling,"das Pferd als Helfer bei der Flucht (vgl. No. 530–533); gewöhnlich: der goldharige Jüngling, nimmt Dienste am Hofe des Königs, besiegt die Feinde im Kriege und heiratet die Tochter des Königs (Gg No. 8 A, 28). align=""right"" valign=""top"" |",The youth transformed into a horse,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegner (vgl. auch „die Märchen vom dummen Teufel“ II D),"313, 314","Die magische Flucht (aus dem Hause des Unholdes (Teufels): die Fliehenden werfen Zaubergegenstände hinter sich, aus denen Berg, Wald und See entstehen, oder sie verwandeln sich in verschiedene Tiere und Gegenstände","8 A, 28",,13
315,315,315,,Die ungetreue Schwester,"(die dem Wassernix versprochenen Kinder), das Mädchen Braut des Wassernix (Teufels); auf seinen Rat stellt sie sich krank und bittet den Bruder, ihr eine Heilsalbe oder dergl. zu bringen; die eingesperrten Tiere machen sich los und retten den Knaben.",The faithless sister,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegner (vgl. auch „die Märchen vom dummen Teufel“ II D),300–359,"Der Unhold (Riese, Drache, Teufel, Kobold etc.) wird überwunden",,,14
316,316,316,,Die Nixe im Teich,"der der Nixe versprochene Mann von ihr ins Wasser gezogen; seine Gattin befreit ihn mit Hülfe von Ratschlägen, die ein altes Weib ihr erteilt, aus der Gewalt der Nixe (Grimm No. 181).",The nixie of the pond,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegner (vgl. auch „die Märchen vom dummen Teufel“ II D),300–359,"Der Unhold (Riese, Drache, Teufel, Kobold etc.) wird überwunden",,181,14
325,325,325,,Der Zauberer und sein Schüler,"der Vater auf die Probe gestellt, erkennt seinen Sohn wieder; der Sohn als Pferd, Ring u. s. w., rettet sich aus der Gewalt seines Meisters (Grimm No. 68, Gg No. 56).",The magician and his pupil,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegner (vgl. auch „die Märchen vom dummen Teufel“ II D),300–359,"Der Unhold (Riese, Drache, Teufel, Kobold etc.) wird überwunden",56,"68, Gg No",14
326,326,326,,"Der Knabe, der das Fürchten lernen wollte","verschiedene Episoden: im Kirchturm, unter dem Galgen, im Spukhause (die Katzen, der vom Dache herabfallende Leichnam u. s. w., auch zum Cyclus vom Menschen und dem dummen Teufel gehörige Züge); kaltes Wasser oder ein Aal bringt ihm schliesslich das Fürchten bei (vgl. No. 1159, 1160) (Grimm No. 4, Gg No. 11).",The youth who wanted to learn what fear is,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegner (vgl. auch „die Märchen vom dummen Teufel“ II D),300–359,"Der Unhold (Riese, Drache, Teufel, Kobold etc.) wird überwunden",11,"4, Gg No",14
327 A,327,327,A,Hänsel und Gretel,"die Eltern führen ihre Kinder in den Wald; das Pfefferkuchenhaus; der Knabe gemästet, die Hexe in den Ofen geworfen (vgl. No. 1121); ihre Schätze fallen den Kindern zu (Grimm No. 15, Gg No. 53).",Hansel and Gretel,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegner (vgl. auch „die Märchen vom dummen Teufel“ II D),300–359,"Der Unhold (Riese, Drache, Teufel, Kobold etc.) wird überwunden",53,"15, Gg No",14
327 B,327,327,B,Der Däumling und der Riese,"der Däumling und seine Brüder im Hause des Riesen; die Kopfbedeckungen der Kinder werden vertauscht (vgl. No. 700, 1119).",Thumbling and the giant,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegner (vgl. auch „die Märchen vom dummen Teufel“ II D),300–359,"Der Unhold (Riese, Drache, Teufel, Kobold etc.) wird überwunden",,,14
328,328,328,,Der Knabe stiehlt die Schätze des Unholdes (Riesen),"das Pferd, die Leuchte u. s. w., schliesslich findet der Unhold seinen Tod (Gg No. 52).",The boy steals the treasures of the ogre (giant),II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegner (vgl. auch „die Märchen vom dummen Teufel“ II D),300–359,"Der Unhold (Riese, Drache, Teufel, Kobold etc.) wird überwunden",52,,14
329,329,329,,Vor dem Unholde versteckt,"ein Mann versteckt sich mit Hülfe eines alten Mannes (dreier Tiere) dreimal (im Magen des Fisches u. s. w.); das dritte Mal kann ihn der Unhold (die Königstochter) nicht entdecken (Grimm No. 191, Gg No. 51).",Hidden from the ogre,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegner (vgl. auch „die Märchen vom dummen Teufel“ II D),300–359,"Der Unhold (Riese, Drache, Teufel, Kobold etc.) wird überwunden",51,"191, Gg No",14
330 A,330,330,A,Der Schmied und der Teufel (Tod),"(der Heiland und Petrus: die drei Wünsche, vgl. No. 750); das Haftenbleiben an der Bank, auf dem Apfelbaum u. s. w.; der Schmied wird weder in den Himmel noch in die Hölle gelassen (Grimm No. 81, 82, Gg No. 64).",The smith and the devil (Death),II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegner (vgl. auch „die Märchen vom dummen Teufel“ II D),300–359,"Der Unhold (Riese, Drache, Teufel, Kobold etc.) wird überwunden",64,"81, 82, Gg No",15
330 B,330,330,B,"Der Teufel im Ranzen (Beutel, Fass)","die Schmiede hämmern auf den Ranzen los; der Teufel entflieht auf eine Insel, wohin sein Gegner kommt, oder letzterer wird weder in den Himmel noch in die Hölle gelassen (Grimm No. 81, 82, Gg No. 64).","The devil in the knapsack (pouch, cask)",II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegner (vgl. auch „die Märchen vom dummen Teufel“ II D),300–359,"Der Unhold (Riese, Drache, Teufel, Kobold etc.) wird überwunden",64,"81, 82, Gg No",15
331,331,331,,Der Geist im Glas,"der Mann befreit den Bösen (Geist) aus der Flasche und erhält zur Belohnung ein wunderbares Heilmittel oder die Kraft, Eisen in Silber (Gold) zu verwandeln; lockt den Bösen wieder in die Flasche hinein (Grimm No. 99).",The spirit in the bottle,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegner (vgl. auch „die Märchen vom dummen Teufel“ II D),300–359,"Der Unhold (Riese, Drache, Teufel, Kobold etc.) wird überwunden",,99,15
332,332,332,,Der Gevatter Tod,"der Mann als Arzt; der Tod zu Füssen des Kranken (das Bett oder den Kranken umgelegt) (Grimm No. 42, 44, Gg No. 122).",Godfather Death,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegner (vgl. auch „die Märchen vom dummen Teufel“ II D),300–359,"Der Unhold (Riese, Drache, Teufel, Kobold etc.) wird überwunden",122,"42, 44, Gg No",15
333,333,333,,Der Fresssack,"der Wolf oder ein sonstiger Unhold verschlingt Menschen und Tiere, bis alle lebendig aus seinem Bauche gerettet werden (vgl. No. 123) (Grimm No. 5, 26, Gg No. 84).",The glutton,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegner (vgl. auch „die Märchen vom dummen Teufel“ II D),300–359,"Der Unhold (Riese, Drache, Teufel, Kobold etc.) wird überwunden",84,"5, 26, Gg No",15
360,360,360,,Der Vertrag der drei Burschen mit dem Teufel,"sie erhalten Geld; der Gastwirt ermordet einen Menschen und die Burschen werden des Mordes angeklagt; haben sich verpflichtet immer dieselben Worte zu sagen: „wir drei“, „ums Geld“, „das war recht“; der Teufel rettet sie vom Galgen, der Gastwirt wird an ihrer Stelle gehängt und der Teufel bekommt seine Seele (vgl. No. 475, 1697) (Grimm No. 120, Gg No. 57 A).",The bargain of the three journeymen with the devil,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegner (vgl. auch „die Märchen vom dummen Teufel“ II D),,,57 A,"120, Gg No",15
361,361,361,,Der Bärenhäuter,"ein Soldat verdingt sich dem Teufel, darf sich sieben Jahre lang nicht waschen und nicht kämmen, erhält viel Geld; heiratet die jüngste von drei Schwestern, da ihn die älteren verschmähen; diese erhängen sich: der Teufel: „ich bekam zwei, du eine“ (vgl. No. 475) (Grimm No. 101, Gg No. 57 B).",Bearskin,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegner (vgl. auch „die Märchen vom dummen Teufel“ II D),,,57 B,"101, Gg No",15
362,362,362,,Die Güte des Teufels,"der Teufel hilft einem Knecht bei seiner Arbeit; der zweite Knecht erhängt sich aus Neid, so erhält der Teufel seine Belohnung (Gg No. 77).",The kindness of the devil,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegner (vgl. auch „die Märchen vom dummen Teufel“ II D),,,77,,16
363,363,363,,Der Leichenfresser,"der Bräutigam frisst in drei Kirchen Leichen; erscheint seiner Braut in Gestalt ihres Vaters, ihrer Mutter u. s. w.; frisst sie auf (Gg No. 85).",The corpse-eater,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegner (vgl. auch „die Märchen vom dummen Teufel“ II D),,,85,,16
365,365,365,,Der tote Bräutigam entführt die Braut (Lenore),„Der Mond scheint hell“ u. s. w.,The dead bridegroom carries off his bride (Lenore),II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegner (vgl. auch „die Märchen vom dummen Teufel“ II D),,,,,16
366,366,366,,Der Mann vom Galgen,"ein Mann raubt das Herz (die Leber, den Magen) eines Gehängten; (gibt es seiner Frau zu essen); das Gespenst kommt, um sein Eigentum wiederzufordern, und führt den Mann mit sich fort (Gg No. 87).",The man from the gallows,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegner (vgl. auch „die Märchen vom dummen Teufel“ II D),,,87,,16
400,400,400,,Der Mann auf der Suche nach seiner verschwundenen Gattin,"Zaubergegenstände oder Tiere als Helfer (als Einleitung oft die Schwanenjungfrauen) (Grimm No. 92, 93, 193, Gg No. 1). [Der um sein schönes Weib Beneidete, siehe No. 465].",The man in search of his vanished wife,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher oder verzauberter Gatte (Gattin) oder sonstiger Angehöriger,400–424,Gattin,1,"92, 93, 193, Gg No",16
401,401,401,,Die in eine Hirschkuh verwandelte Prinzessin,"der Königssohn auf der Jagd; erlöst die Prinzessin aus der Verzauberung, indem er drei Nächte in einem verlassenen Schlosse zubringt; nimmt sie zum Weibe (Gg No. 2).",The princess transformed into a hind,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher oder verzauberter Gatte (Gattin) oder sonstiger Angehöriger,400–424,Gattin,2,,16
402,402,402,,"Die Maus (Katze, Frosch u. s. w.) als Braut","der jüngste von drei Brüdern führt die Aufträge des Vaters am besten aus: er bringt das beste Tuch, die schönste Braut u. s. w.; die Maus verwandelt sich in ein schönes Mädchen (Grimm No. 63, 106, Gg No. 15). [Die Höllenfahrt des Jünglings, siehe No. 466].","The mouse (cat, frog, etc.) as bride",II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher oder verzauberter Gatte (Gattin) oder sonstiger Angehöriger,400–424,Gattin,15,"63, 106, Gg No",16
403,403,403,,"Die weisse und die schwarze Braut (vgl. No. 450, 480, 510, 511)",,The white and the black bride,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher oder verzauberter Gatte (Gattin) oder sonstiger Angehöriger,400–424,Gattin,,,17
403 A,403,403,A,,"Die Wünsche (der Heiland und Petrus u. s. w.); die rechte Tochter des Mannes wird schön (Gold aus dem Munde), die Stieftochter hässlich (Frösche), oder der klingende Baum; der Bruder der rechten Tochter im Dienst des Königs; das Bild der Schwester; auf der Fahrt zum Schloss wirft die Stiefmutter das Mädchen ins Wasser, das Mädchen in eine Ente verwandelt; die Stiefschwester wird an ihrer Stelle die Gemahlin des Königs; der Bruder ins Gefängnis geworfen (Grimm No. 135, Gg No. 35).",,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher oder verzauberter Gatte (Gattin) oder sonstiger Angehöriger,400–424,Gattin,35,"135, Gg No",17
403 B,403,403,B,,"Vorherg. (drei Zwerge, Erdbeeren unter dem Schnee u. s. w.); die rechte Tochter Gemahlin des Königs; ein Kind geboren; die Stiefmutter wirft die Königin ins Wasser u. s. w. (Grimm No. 13, Gg No. 35).",,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher oder verzauberter Gatte (Gattin) oder sonstiger Angehöriger,400–424,Gattin,35,"13, Gg No",17
405,405,405,,Jorinde und Joringel,eine Hexe verwandelt das Mädchen in einen Vogel; der Jüngling verschafft ihr mit Hilfe eines Zaubergegenstandes ihre frühere Gestalt zurück (Grimm No. 69).,Jorinde and Joringel,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher oder verzauberter Gatte (Gattin) oder sonstiger Angehöriger,400–424,Gattin,,69,17
406,406,406,,Der Menschenfresser,"einem Ehepare wird ein Kind geboren, das ein Menschenfresser ist; es frisst alle ausser dem Verwalter auf; diesem gelingt es den Zauber zu brechen und der Menschenfresser verwandelt sich in ein Mädchen; sie heiraten sich (Gg No. 33).",The cannibal,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher oder verzauberter Gatte (Gattin) oder sonstiger Angehöriger,400–424,Gattin,33,,17
407,407,407,,Das Mädchen als Blume,"ein Mädchen ist in eine Blume verwandelt; ein Mann bricht den Stengel der Blume, sie wird wieder zum Menschen; er nimmt sie zur Frau (Grimm No. 160, Gg No. 42). [Der Königssohn, dessen Gedanken immer in Erfüllung gehn, siehe No. 652].",The maiden as flower,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher oder verzauberter Gatte (Gattin) oder sonstiger Angehöriger,400–424,Gattin,42,"160, Gg No",17
410,410,410,,Dornröschen,die Königstochter verfällt in einen Zauberschlaf; ein Prinz dringt durch die das Schloss umgebende Dornenhecke und erlöst das Mädchen (Grimm No. 50).,Sleeping Beauty,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher oder verzauberter Gatte (Gattin) oder sonstiger Angehöriger,400–424,Gattin,,50,17
425 A,425,425,A,Das Ungeheuer (Tier) als Bräutigam (Amor und Psyche),"das Mädchen sucht den verschwundenen Bräutigam (Grimm No. 127, Gg No. 26 A).",The monster (animal) as bridegroom (Cupid and Psyche),II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher oder verzauberter Gatte (Gattin) oder sonstiger Angehöriger,425–449,Gatte,26 A,"127, Gg No",18
425 B,425,425,B,,"Dasselbe, als Einleitung: zu erraten, von welchem Tiere die Haut ist (von einer Laus) (vgl. No. 621) (Gg No. 26 B).",,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher oder verzauberter Gatte (Gattin) oder sonstiger Angehöriger,425–449,Gatte,26 B,,18
425 C,425,425,C,Das Mädchen als Frau des Bären,"die jüngste von drei Schwestern bittet den Vater, ihr von der Reise eine Blume (oder Lerche) als Geschenk mitzubringen; sie muss die Gattin eines Bären werden, der sich in einen Prinzen verwandelt; (sie sucht ihren Mann) (Grimm No. 88).",The maiden as the bear's wife,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher oder verzauberter Gatte (Gattin) oder sonstiger Angehöriger,425–449,Gatte,,88,18
426,426,426,,"Die beiden Mädchen, der Bär und der Zwerg","die Mädchen lassen den Bären in die Hütte ein; retten einen undankbaren Zwerg aus Lebensgefahr; der Bär tötet den Zwerg; der Bär verwandelt sich in einen Königssohn, der vom Zwerg verhext worden (Grimm No. 161).","The two maidens, the bear, and the dwarf",II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher oder verzauberter Gatte (Gattin) oder sonstiger Angehöriger,425–449,Gatte,,161,18
428,428,428,,Der Wolf,"ein Mädchen im Dienst bei einer Hexe, die ihr unmöglich erscheinende Aufträge erteilt, u. a. einer anderen Hexe einen Brief zu überbringen, in dem diese aufgefordert wird, das Mädchen zu töten; ein Wolf hilft ihr sie auszuführen; der Wolf wird dadurch aus der Verzauberung erlöst und verwandelt sich in einen Prinzen, der das Mädchen heiratet.",The wolf,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher oder verzauberter Gatte (Gattin) oder sonstiger Angehöriger,425–449,Gatte,,,18
430,430,430,,Der Esel,"der Königssohn als Esel; wird der Gatte einer Königstochter, die ihn aus der Verzauberung erlöst (Grimm No. 144, Gg No. 34).",The ass,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher oder verzauberter Gatte (Gattin) oder sonstiger Angehöriger,425–449,Gatte,34,"144, Gg No",18
431,431,431,,Das Waldhaus,"drei Mädchen werden nach einander in den Wald geschickt und kommen in ein Haus, in dem sich ein alter Mann, ein Hahn, ein Huhn und eine Kuh befinden; die älteren Schwestern werden in den Keller geworfen, die jüngste füttert die Tiere; dadurch werden alle aus der Verzauberung erlöst: der Alte ist ein Prinz, die Tiere seine Diener; er heiratet das Mädchen (Grimm No. 169).",The house in the forest,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher oder verzauberter Gatte (Gattin) oder sonstiger Angehöriger,425–449,Gatte,,169,18
432,432,432,,Der Königssohn als Vogel,besucht eine Königstochter; durch den Anschlag der bösen Stiefmutter verletzt er sich am Fenster; das Mädchen heilt ihn (Gg No. 29).,The king's son as bird,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher oder verzauberter Gatte (Gattin) oder sonstiger Angehöriger,425–449,Gatte,29,,19
433 A,433,433,A,Der Königssohn in Schlangengestalt,eine Schlange trägt eine Prinzessin in ihr Schloss; das Mädchen (küsst) erlöst den Jüngling aus der Verzauberung (Gg No. 30).,The king's son in serpent form,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher oder verzauberter Gatte (Gattin) oder sonstiger Angehöriger,425–449,Gatte,30,,19
433 B,433,433,B,,"Eine kinderlose Königin gebärt einen Knaben, der sich in Schlangengestalt vom Hause entfernt; ein Mädchen erlöst ihn aus der Verzauberung (Bad) (Gg No. 31).",,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher oder verzauberter Gatte (Gattin) oder sonstiger Angehöriger,425–449,Gatte,31,,19
440,440,440,,Der Froschkönig oder der eiserne Heinrich,"ein Mädchen gelobt sich einem Frosche im Brunnen; der Frosch an der Tür, am Tisch, im Bett: verwandelt sich in einen Königssohn (Grimm No. 1, Gg No. 124).","The Frog King, or Iron Henry",II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher oder verzauberter Gatte (Gattin) oder sonstiger Angehöriger,425–449,Gatte,124,"1, Gg No",19
441,441,441,,Hans mein Igel,"eine kinderlose Frau bringt einen Igel zur Welt; der König verspricht dem Igel, ohne es zu wissen, seine Tochter, als dieser ihm den rechten Weg aus dem Walde zeigt; der Igel holt sich seine Braut; die Igelshaut wird verbrannt: der Igel ist in einen schönen Jüngling verwandelt (Grimm No. 108).",Hans My Hedgehog,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher oder verzauberter Gatte (Gattin) oder sonstiger Angehöriger,425–449,Gatte,,108,19
442,442,442,,Die Alte im Walde,"das Mädchen erlöst einen Königssohn, den ein böses Weib in einen Baum verwandelt hat; verschafft sich den Zauberring aus dem Hause der Alten; Hochzeit (Grimm No. 123).",The old woman in the forest,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher oder verzauberter Gatte (Gattin) oder sonstiger Angehöriger,425–449,Gatte,,123,19
450,450,450,,Brüderchen und Schwesterchen,"der Knabe wird von der bösen Stiefmutter in ein Reh verwandelt; lebt mit seiner Schwester im Walde; der König heiratet diese; ihre Stiefschwester wird an ihrer Stelle seine Gemahlin, bis alles ein gutes Ende nimmt (vgl. No. 403) (Grimm No. 11, Gg No. 38).",Little Brother and Little Sister,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher oder verzauberter Gatte (Gattin) oder sonstiger Angehöriger,450–459,Bruder oder Schwester,38,"11, Gg No",19
451,451,451,,"Das Mädchen, das seine Brüder sucht","die Königin gibt ein Zeichen, ob ein Knabe oder ein Mädchen geboren ist; das Mädchen pflückt zwölf Blumen: die zwölf Brüder werden in Raben verwandelt; sie bleibt sieben Jahre lang stumm, um ihre Brüder zu erlösen; (wohnt auf einem Baume); der König findet sie und nimmt sie zur Frau; Rettung vom Scheiterhaufen (Die stumme Königstochter, vgl. No. 705, 710) (Grimm No. 9, 49, vgl. No. 25, Gg No. 40).",The maiden who seeks her brothers,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher oder verzauberter Gatte (Gattin) oder sonstiger Angehöriger,450–459,Bruder oder Schwester,40,"9, 49, vgl",20
460 A,460,460,A,"Die Wanderung zu Gott, um Belohnung zu heischen","ein Knabe hat gehört, dass Gott das einem Armen gegebene Almosen zehnfach vergilt, begibt sich auf die Wanderung zu Gott, von dem er seine Belohnung erhält, indem ihm die Antworten auf die unterwegs gestellten Fragen mitgeteilt werden.",The journey to God to receive a reward,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürliche Aufgabe,460–462,Die Fragen,,,20
460 B,460,460,B,"Die Wanderung, um das Schicksal zu suchen","einem armen Manne will nichts gelingen; er wandert hinaus, um das Schicksal zu suchen, von dem er die Antworten auf unterwegs gestellte Fragen erhält.",The journey in search of Fortune,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürliche Aufgabe,460–462,Die Fragen,,,20
