id,khm_no,part,title_de,title_en,atu_type,atu_episode_types,type_note,aarne_1910_types,first_edition,wikisource_de
khm-134,KHM 134,KHM,Die sechs Diener,The Six Servants,513A,,"Type 513A, Six Go through the Whole World",513 A,1812/15,https://de.wikisource.org/wiki/Die_sechs_Diener
khm-135,KHM 135,KHM,Die weiße und die schwarze Braut,The White Bride and the Black Bride,403A,,"Type 403A, The Black and the White Bride: The Wishes",403 A,1812/15,https://de.wikisource.org/wiki/Die_weiße_und_die_schwarze_Braut
khm-136,KHM 136,KHM,Der Eisenhans,Iron Hans,502,,"Type 502, The Wild Man as a Helper",502,1850,https://de.wikisource.org/wiki/Der_Eisenhans
khm-137,KHM 137,KHM,De drei schwatten Prinzessinnen,The Three Black Princesses,401A,,"Similar to type 401A, The Enchanted Princess in Her Castle",,1812/15,https://de.wikisource.org/wiki/De_drei_schwatten_Prinzessinnen
khm-138,KHM 138,KHM,Knoist un sine dre Sühne,Knoist and His Three Sons,1965,1963,"Type 1965. Includes an episode of type 1963, Sailing in a Bottomless Boat",,1812/15,https://de.wikisource.org/wiki/Knoist_un_sine_dre_Sühne
khm-139,KHM 139,KHM,Dat Mäken von Brakel,The Girl from Brakel,1476A,,"Type 1476A, Praying to the Statue's Mother",,1812/15,https://de.wikisource.org/wiki/Dat_Mäken_von_Brakel
khm-140,KHM 140,KHM,Das Hausgesinde,Household Servants,1940,,"Type 1940, Extraordinary Names",,1812/15,https://de.wikisource.org/wiki/Das_Hausgesinde
khm-141,KHM 141,KHM,Das Lämmchen und Fischchen,The Little Lamb and the Little Fish,450,,"Type 450, Little Brother, Little Sister",,1812/15,https://de.wikisource.org/wiki/Das_Lämmchen_und_Fischchen
khm-142,KHM 142,KHM,Simeliberg,Simeli Mountain,676,,"Type 676, Open Sesame",676,1812/15,https://de.wikisource.org/wiki/Simeliberg
khm-143,KHM 143,KHM,Up Reisen gohn,Going Traveling,1696,,"Type 1696, What Should I Have Said?",1696,1819,https://de.wikisource.org/wiki/Up_Reisen_gohn
khm-144,KHM 144,KHM,Das Eselein,The Little Donkey,430,,"Type 430, The Donkey Bridegroom",430,1812/15,https://de.wikisource.org/wiki/Das_Eselein
khm-145,KHM 145,KHM,Der undankbare Sohn,The Ungrateful Son,980D,,"Type 980D, A Toad in the Face of an Ungrateful Son",,1812/15,https://de.wikisource.org/wiki/Der_undankbare_Sohn
khm-146,KHM 146,KHM,Die Rübe,The Turnip,1737,,"Types 1960D, The Giant Vegetable; and 1689A, Two Presents for the King. Includes an episode of type 1737, Trading Places with the Trickster in a Sack",1960 D,1812/15,https://de.wikisource.org/wiki/Die_Rübe
khm-147,KHM 147,KHM,Das junggeglühte Männlein,The Little Old Man Made Young by Fire,753,,"Type 753, Christ and the Smith",753,1812/15,https://de.wikisource.org/wiki/Das_junggeglühte_Männlein
khm-148,KHM 148,KHM,Des Herrn und des Teufels Getier,The Lord's Animals and the Devil's,,,,,1812/15,https://de.wikisource.org/wiki/Des_Herrn_und_des_Teufels_Getier
khm-149,KHM 149,KHM,Der Hahnenbalken,The Rooster Beam,987,1290,"Type 987, False Magician Exposed by Clever Girl. Includes an episode similar to type 1290, A Fool Mistakes a Flax Field for a Lake",,1812/15,https://de.wikisource.org/wiki/Der_Hahnenbalken
khm-150,KHM 150,KHM,Die alte Bettelfrau,The Old Beggar Woman,,,,,1812/15,https://de.wikisource.org/wiki/Die_alte_Bettelfrau
khm-151,KHM 151,KHM,Die drei Faulen,The Three Lazy Ones,1950,,"Type 1950, A Contest in Laziness",1950,1812/15,https://de.wikisource.org/wiki/Die_drei_Faulen
khm-151a,KHM 151a,KHM,Die zwölf faulen Knechte,The Twelve Lazy Servants,1950,,"Type 1950, A Contest in Laziness",1950,1857,https://de.wikisource.org/wiki/Die_zwölf_faulen_Knechte
khm-152,KHM 152,KHM,Das Hirtenbüblein,The Little Shepherd Boy,922,,"Type 922, The King, the Abbot, and the Shepherd",922,1819,https://de.wikisource.org/wiki/Das_Hirtenbüblein
khm-153,KHM 153,KHM,Die Sterntaler,The Star Talers,779,,"Type 779, Divine Rewards and Punishments",,1812/15,https://de.wikisource.org/wiki/Das_arme_Mädchen
khm-154,KHM 154,KHM,Der gestohlene Heller,The Stolen Farthing,769,,"Type 769, A Child Returns from the Dead",,1812/15,https://de.wikisource.org/wiki/Der_gestohlene_Heller
khm-155,KHM 155,KHM,Die Brautschau,Choosing a Bride,1452,,"Type 1452, Choosing a Bride by How She Cuts Cheese",1452; 1453,1819,https://de.wikisource.org/wiki/Die_Brautschau
khm-156,KHM 156,KHM,Die Schlickerlinge,The Hurds,1451,,"Type 1451, A Suitor Chooses the Thrifty Girl",1451,1819,https://de.wikisource.org/wiki/Die_Schlickerlinge
khm-157,KHM 157,KHM,Der Sperling und seine vier Kinder,The Sparrow and His Four Children,157,,"Similar to type 157, Learning to Fear Man",,1812/15,https://de.wikisource.org/wiki/Der_Sperling_und_seine_vier_Kinder
khm-158,KHM 158,KHM,Das Märchen vom Schlauraffenland,The Tale of Cockaigne,1930,,Type 1930,1930,1812/15,https://de.wikisource.org/wiki/Das_Märchen_vom_Schlauraffenland
khm-159,KHM 159,KHM,Das Diethmarsische Lügenmärchen,The Tall Tale from Ditmarsh,1930,,"Type 1930, Schlaraffenland",1930,1812/15,https://de.wikisource.org/wiki/Das_Dietmarsische_Lügenmärchen
khm-160,KHM 160,KHM,Rätselmärchen,A Riddling Tale,407,,"Type 407, The Girl as a Flower",407,1812/15,https://de.wikisource.org/wiki/Rätselmärchen
khm-161,KHM 161,KHM,Schneeweißchen und Rosenrot,Snow-White and Rose-Red,426,,"Type 426, The Two Girls, the Bear, and the Dwarf",426,1837,https://de.wikisource.org/wiki/Schneeweißchen_und_Rosenrot
khm-162,KHM 162,KHM,Der kluge Knecht,The Clever Servant,1681B,,"Similar to type 1681B, The Fool as a Housekeeper",,1837,https://de.wikisource.org/wiki/Der_kluge_Knecht
khm-163,KHM 163,KHM,Der gläserne Sarg,The Glass Coffin,410,,"Type 410, Sleeping Beauty",,1837,https://de.wikisource.org/wiki/Der_gläserne_Sarg
khm-164,KHM 164,KHM,Der faule Heinz,Lazy Heinz,1430,,"Type 1430, Air Castles",1430,1837,https://de.wikisource.org/wiki/Der_faule_Heinz
khm-165,KHM 165,KHM,Der Vogel Greif,The Griffin,,,"Types 610, Fruit to Cure the Princess; 461, Three Hairs from the Devil; and 570, The Rabbit Herd",610,1837,https://de.wikisource.org/wiki/Der_Vogel_Greif
khm-166,KHM 166,KHM,Der starke Hans,Strong Hans,650A,301A,"Type 650A, The Young Giant; and type 301A, The Quest for the Vanished Princesses",301 B,1837,https://de.wikisource.org/wiki/Der_starke_Hans
khm-167,KHM 167,KHM,Das Bürle im Himmel,The Peasant in Heaven,802,,Type 802,802,1837,https://de.wikisource.org/wiki/Das_Bürle_im_Himmel
khm-168,KHM 168,KHM,Die hagere Liese,Lean Lisa,1430,2411,"Type 1430, Air Castles. Includes an episode of type 2411, Counting Imagined Wealth.",1430,1840,https://de.wikisource.org/wiki/Die_hagere_Liese
khm-169,KHM 169,KHM,Das Waldhaus,The Hut in the Woods,431,,Type 431,431,1840,https://de.wikisource.org/wiki/Das_Waldhaus
khm-170,KHM 170,KHM,Lieb und Leid teilen,Sharing Joy and Sorrow,921D*,,"Similar to type 921D*, Witty Answers",,1840,https://de.wikisource.org/wiki/Lieb_und_Leid_teilen
khm-171,KHM 171,KHM,Der Zaunkönig,The Wren,221,,"Type 221, The Wren Becomes King of the Birds",221,1840,https://de.wikisource.org/wiki/Der_Zaunkönig
khm-172,KHM 172,KHM,Die Scholle,The Flounder,250A,,"Type 250A, The Flounder's Crooked Mouth",,1840,https://de.wikisource.org/wiki/Die_Scholle
khm-173,KHM 173,KHM,Rohrdommel und Wiedehopf,The Bittern and Hoopoe,236*,2075,"Type 236*, Imitating Bird Sounds. Compare type 2075, Imitating Animal Sounds",,1840,https://de.wikisource.org/wiki/Rohrdommel_und_Wiedehopf
khm-174,KHM 174,KHM,Die Eule,The Owl,1281,,"Type 1281, Burning the Barn to Destroy an Unknown Animal",1281,1840,https://de.wikisource.org/wiki/Die_Eule
khm-175,KHM 175,KHM,Der Mond,The Moon,,,,,1857,https://de.wikisource.org/wiki/Der_Mond
khm-176,KHM 176,KHM,Die Lebenszeit,The Duration of Life,,,"Types 173 and 828, Men, Animals, and the Span of Life. (Categorized under two different numbers by Aarne-Thompson)",,1840,https://de.wikisource.org/wiki/Die_Lebenszeit
khm-177,KHM 177,KHM,Die Boten des Todes,Death's Messengers,335,,Type 335,,1840,https://de.wikisource.org/wiki/Die_Boten_des_Todes
khm-178,KHM 178,KHM,Meister Pfriem,Master Pfriem,801,1248,"Type 801. Includes an episode of type 1248, Loading a Beam Crosswise on a Wagon",801,1843,https://de.wikisource.org/wiki/Meister_Pfriem
khm-179,KHM 179,KHM,Die Gänsehirtin am Brunnen,The Goose-Girl at the Well,923,,"Type 923, Love Like Salt",923,1843,https://de.wikisource.org/wiki/Die_Gänsehirtin_am_Brunnen
khm-180,KHM 180,KHM,Die ungleichen Kinder Evas,Eve's Unequal Children,758,,Type 758,,1843,https://de.wikisource.org/wiki/Die_ungleichen_Kinder_Evas
khm-181,KHM 181,KHM,Die Nixe im Teich,The Nixie in the Pond,316,,Type 316,316,1843,https://de.wikisource.org/wiki/Die_Nixe_im_Teich
khm-182,KHM 182,KHM,Die Geschenke des kleinen Volkes,The Gifts of the Little People,503,,"Type 503, The Hunchbacks and the Elves",,1850,https://de.wikisource.org/wiki/Die_Geschenke_des_kleinen_Volkes
khm-183,KHM 183,KHM,Der Riese und der Schneider,The Giant and the Tailor,1049,,"Type 1049, The Heavy Ax; 1053, Shooting Wild Boars; and 1051, Springing with a Bent Tree",,1843,https://de.wikisource.org/wiki/Der_Riese_und_der_Schneider
khm-184,KHM 184,KHM,Der Nagel,The Nail,2039,,"Type 2039, The Lost Horseshoe Nail",,1843,https://de.wikisource.org/wiki/Der_Nagel
khm-185,KHM 185,KHM,Der arme Junge im Grab,The Poor Boy in the Grave,1876,1313,"Episodes include type 1876, Chickens on a String, and type 1313, The Man Who Thought He Was Dead",1876,1843,https://de.wikisource.org/wiki/Der_arme_Junge_im_Grab
khm-186,KHM 186,KHM,Die wahre Braut,The True Bride,510,884,"Type 510, The Persecuted Heroine; followed by type 884, The Forsaken Fiancée",313 C,1843,https://de.wikisource.org/wiki/Die_wahre_Braut
khm-187,KHM 187,KHM,Der Hase und der Igel. This link is to a High German translation of the Grimms' original Low German text.,The Hare and the Hedgehog,275A*,1074,"Type 275A*, The Race between the Hedgehog and the Hare. Compare type 1074, A Race Is Won by a Look-Alike Helper",275,1843,https://de.wikisource.org/wiki/Der_Hase_und_der_Igel
khm-188,KHM 188,KHM,"Spindel, Weberschiffchen und Nadel","Spindle, Shuttle, and Needle",585,,Type 585,585,1843,"https://de.wikisource.org/wiki/Spindel,_Weberschiffchen_und_Nadel"
khm-189,KHM 189,KHM,Der Bauer und der Teufel,The Peasant and the Devil,1030,,"Type 1030, Man and Ogre Share the Harvest",,1843,https://de.wikisource.org/wiki/Der_Bauer_und_der_Teufel
khm-190,KHM 190,KHM,Die Brosamen auf dem Tisch,The Crumbs on the Table,236*,2075,"Type 236*, Imitating Bird Sounds. Compare type 2075, Imitating Animal Sounds",,1843,https://de.wikisource.org/wiki/Die_Brosamen_auf_dem_Tisch
khm-191,KHM 191,KHM,Das Meerhäschen,The Rabbit,554,,"Type 554, The Grateful Animals. Similar to 851, Winning the Princess with a Riddle",329,1857,https://de.wikisource.org/wiki/Das_Meerhäschen
khm-192,KHM 192,KHM,Der Meisterdieb,The Master Thief,1525A,,"Type 1525A, Stealing the Count's Horse, Sheet, and Parson",1525 A,1843,https://de.wikisource.org/wiki/Der_Meisterdieb
khm-193,KHM 193,KHM,Der Trommler,The Drummer,400,313; 518,"Type 400, The Quest for a Lost Bride; and type 313, The Girl Helps the Hero Flee; the Forgotten Fiancée. Includes an episode of type 518, Quarreling Giants Lose Their Magic Objects",400; 313 C,1843,https://de.wikisource.org/wiki/Der_Trommler
khm-194,KHM 194,KHM,Die Kornähre,The Ear of Grain,779,,"Type 779, Divine Rewards and Punishments",,1850,https://de.wikisource.org/wiki/Die_Kornähre
khm-195,KHM 195,KHM,Der Grabhügel,The Grave Mound,815,1130,"Similar to type 815, Keeping Watch at a Rich Man's Grave. Contains an episode of type 1130, A Boot Full of Money",,1850,https://de.wikisource.org/wiki/Der_Grabhügel
khm-196,KHM 196,KHM,Oll Rinkrank,Old Rinkrank,311,,"Similar to type 311, The Heroine Rescues Herself and Her Sisters",,1850,https://de.wikisource.org/wiki/Oll_Rinkrank
khm-197,KHM 197,KHM,Die Kristallkugel,The Crystal Ball,552A,302; 518,"Type 552A, The Girls Who Married Animals. Includes episodes of type 302, The Giant Whose Heart Was in an Egg, and type 518, Quarreling Giants Lose Their Magic Objects",302,1850,https://de.wikisource.org/wiki/Die_Kristallkugel
khm-198,KHM 198,KHM,Jungfrau Maleen,Maid Maleen,870,,"Type 870, The Entombed Princess",870,1850,https://de.wikisource.org/wiki/Jungfrau_Maleen
khm-199,KHM 199,KHM,Der Stiefel von Büffelleder,The Boot of Buffalo Leather,952,,"Type 952, The King and the Soldier",952,1850,https://de.wikisource.org/wiki/Der_Stiefel_von_Büffelleder
khm-200,KHM 200,KHM,Der goldene Schlüssel,The Golden Key,2260,,Type 2260,,1812/15,https://de.wikisource.org/wiki/Der_goldene_Schlüssel
kl-01,KL 1,KL,Der heilige Joseph im Walde,St. Joseph in the Woods,480,,"Type 480, The Kind and the Unkind Girls",,,
kl-02,KL 2,KL,Die zwölf Apostel,The Twelve Apostles,766,,"Similar to type 766, The Magic Sleep",,,
kl-03,KL 3,KL,Die Rose,The Rose,,,,,,
kl-04,KL 4,KL,Armut und Demut führen zum Himmel,Poverty and Humility Lead to Heaven,,,,,,
kl-05,KL 5,KL,Gottes Speise,God's Food,751G*,,"Type 751G*, Bread Turned to Stone",,,
kl-06,KL 6,KL,Die drei grünen Zweige,The Three Green Branches,756A,,"Type 756A, Green Leaves on a Dry Stick",,,
kl-07,KL 7,KL,Muttergottesgläschen,Our Lady's Little Glass,,,,,,
kl-08,KL 8,KL,Die alte Mütterchen,The Aged Mother,,,,,,
kl-09,KL 9,KL,Die himmlische Hochzeit,The Heavenly Wedding,767,,"Type 767, Food for the Crucifix",,,
kl-10,KL 10,KL,Die Haselrute,The Hazel Switch,,,,,,
